target,model,training_labels,metric_scope,class_label,accuracy,precision,recall,f1,support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
section,nb,real,class,cars,,0.0,0.0,0.0,0,,,,,,
section,nb,real,class,celebrities,,0.0,0.0,0.0,0,,,,,,
section,nb,real,class,china,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,economy,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,energy,,0.0,0.0,0.0,0,,,,,,
section,nb,real,class,entertainment,,0.0,0.0,0.0,11,,,,,,
section,nb,real,class,europe,,0.5117056856187291,0.9622641509433962,0.6681222707423581,159,,,,,,
section,nb,real,class,football,,0.9803921568627451,0.8620689655172413,0.9174311926605505,116,,,,,,
section,nb,real,class,golf,,1.0,0.46153846153846156,0.631578947368421,26,,,,,,
section,nb,real,class,health,,0.0,0.0,0.0,10,,,,,,
section,nb,real,class,homes,,0.0,0.0,0.0,0,,,,,,
section,nb,real,class,india,,0.0,0.0,0.0,0,,,,,,
section,nb,real,class,intl_world,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,investing,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,living,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,media,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,middleeast,,0.0,0.0,0.0,0,,,,,,
section,nb,real,class,motorsport,,1.0,0.25,0.4,24,,,,,,
section,nb,real,class,movies,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,opinions,,0.0,0.0,0.0,13,,,,,,
section,nb,real,class,perspectives,,0.0,0.0,0.0,5,,,,,,
section,nb,real,class,politics,,0.0,0.0,0.0,15,,,,,,
section,nb,real,class,sport,,0.6590257879656161,0.9704641350210971,0.7849829351535836,237,,,,,,
section,nb,real,class,success,,0.0,0.0,0.0,3,,,,,,
section,nb,real,class,tech,,0.0,0.0,0.0,1,,,,,,
section,nb,real,class,tennis,,0.7857142857142857,0.3333333333333333,0.46808510638297873,33,,,,,,
section,nb,real,class,uk,,0.9411764705882353,0.43243243243243246,0.5925925925925926,74,,,,,,
section,nb,real,class,us,,0.0,0.0,0.0,22,,,,,,
section,nb,real,class,weather,,0.0,0.0,0.0,1,,,,,,
